variable,time_frame,scenario,forcing,time_period,link
potevap,historical,historical,gfdl-esm4,1850_2014,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/gfdl-esm4/historical/watergap2-2e_gfdl-esm4_w5e5_historical_histsoc_default_potevap_global_monthly_1850_2014.nc
potevap,historical,historical,ipsl-cm6a-lr,1850_2014,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/ipsl-cm6a-lr/historical/watergap2-2e_ipsl-cm6a-lr_w5e5_historical_histsoc_default_potevap_global_monthly_1850_2014.nc
potevap,historical,historical,mpi-esm1-2-hr,1850_2014,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/mpi-esm1-2-hr/historical/watergap2-2e_mpi-esm1-2-hr_w5e5_historical_histsoc_default_potevap_global_monthly_1850_2014.nc
potevap,historical,historical,mri-esm2-0,1850_2014,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/mri-esm2-0/historical/watergap2-2e_mri-esm2-0_w5e5_historical_histsoc_default_potevap_global_monthly_1850_2014.nc
potevap,historical,historical,ukesm1-0-ll,1850_2014,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/ukesm1-0-ll/historical/watergap2-2e_ukesm1-0-ll_w5e5_historical_histsoc_default_potevap_global_monthly_1850_2014.nc
potevap,future,ssp126,gfdl-esm4,2015_2100,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/gfdl-esm4/future/watergap2-2e_gfdl-esm4_w5e5_ssp126_2015soc-from-histsoc_default_potevap_global_monthly_2015_2100.nc
potevap,future,ssp126,ipsl-cm6a-lr,2015_2100,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/ipsl-cm6a-lr/future/watergap2-2e_ipsl-cm6a-lr_w5e5_ssp126_2015soc-from-histsoc_default_potevap_global_monthly_2015_2100.nc
potevap,future,ssp126,mpi-esm1-2-hr,2015_2100,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/mpi-esm1-2-hr/future/watergap2-2e_mpi-esm1-2-hr_w5e5_ssp126_2015soc-from-histsoc_default_potevap_global_monthly_2015_2100.nc
potevap,future,ssp126,mri-esm2-0,2015_2100,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/mri-esm2-0/future/watergap2-2e_mri-esm2-0_w5e5_ssp126_2015soc-from-histsoc_default_potevap_global_monthly_2015_2100.nc
potevap,future,ssp126,ukesm1-0-ll,2015_2100,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/ukesm1-0-ll/future/watergap2-2e_ukesm1-0-ll_w5e5_ssp126_2015soc-from-histsoc_default_potevap_global_monthly_2015_2100.nc
potevap,future,ssp370,gfdl-esm4,2015_2100,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/gfdl-esm4/future/watergap2-2e_gfdl-esm4_w5e5_ssp370_2015soc-from-histsoc_default_potevap_global_monthly_2015_2100.nc
potevap,future,ssp370,ipsl-cm6a-lr,2015_2100,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/ipsl-cm6a-lr/future/watergap2-2e_ipsl-cm6a-lr_w5e5_ssp370_2015soc-from-histsoc_default_potevap_global_monthly_2015_2100.nc
potevap,future,ssp370,mpi-esm1-2-hr,2015_2100,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/mpi-esm1-2-hr/future/watergap2-2e_mpi-esm1-2-hr_w5e5_ssp370_2015soc-from-histsoc_default_potevap_global_monthly_2015_2100.nc
potevap,future,ssp370,mri-esm2-0,2015_2100,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/mri-esm2-0/future/watergap2-2e_mri-esm2-0_w5e5_ssp370_2015soc-from-histsoc_default_potevap_global_monthly_2015_2100.nc
potevap,future,ssp370,ukesm1-0-ll,2015_2100,https://files.isimip.org/ISIMIP3b/OutputData/water_global/WaterGAP2-2e/ukesm1-0-ll/future/watergap2-2e_ukesm1-0-ll_w5e5_ssp370_2015soc-from-histsoc_default_potevap_global_monthly_2015_2100.nc
